NCT,Authors,Year,PMID,Trial name,Trial phase,Number of arms,Total sample size,Original publication or Follow-up,Cancer type,Treatment regimen,Name of ICI,Class of ICI,Monotherapy/combination,Type of combination,Control regimen,Control arm,Lines of treatment,Clinical setting in relation to surgery,Primary endpoint,"Primary Multiple, composite, or co-primary endpoints?",Secondary endpoint,Is PD-L1 positivity inclusion criteria,Is any other biomarker used for inclusion,Type of follow-up given,Follow-up duration for primary endpoint(s) in months | Overall,Follow-up duration for primary endpoint(s) in months | Rx,Follow-up duration for primary endpoint(s) in months | Control,Type of therapy,Clinical setting
NCT03051659,Tolaney SM et al,2020,32880602,,Phase 2,2,90.0,Original publication,Breast,Pembrolizumab+Eribulin,Pembrolizumab,PD1,Combination,ICI+Chemo,Eribulin,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability",False,True,Median,10.5,,,Combination,Metastatic+recurrent (unresectable)
NCT02494583,Shitara K et al,2020,32880601,Keynote-062,Phase 3,3,763.0,Original publication,Gastric/GEJ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Placebo+Cisplatin+5-FU+Capecitabine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, safety, tolerability, HRQOL",True,True,Median,29.4,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02494583,Shitara K et al (1),2020,32880601,Keynote-062,Phase 3,3,763.0,Original publication,Gastric/GEJ,Pembrolizumab+Cisplatin+5-FU+Capecitabine,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Cisplatin+5-FU+Capecitabine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, safety, tolerability, HRQOL",True,True,Median,29.4,,,Combination,Metastatic+recurrent (unresectable)
NCT02819518,Cortes J et al,2020,33278935,MK-3475/Keynote-355,Phase 3,2,847.0,Original publication,Breast,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,Pembrolizumab,PD1,Combination,ICI+Chemo,Placebo+Nab-paclitaxel/Gemcitabine+carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, DCR",True,True,Median,,25.9,26.3,Combination,Metastatic+recurrent (unresectable)
NCT02516241,Powles T et al,2020,32971005,DANUBE,Phase 3,3,1032.0,Original publication,Urothelial,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Gemcitabine+Cisplatin/Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,Co-primary,"OS, PFS, ORR, DoR, DCR",False,False,Median,41.2,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02516241,Powles T et al (1),2020,32971005,DANUBE,Phase 3,3,1032.0,Original publication,Urothelial,Durvalumab+Tremelimumab,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI,Gemcitabine+Cisplatin/Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,Co-primary,"OS, PFS, ORR, DoR, DCR",False,False,Median,41.2,,,Combination,Metastatic+recurrent (unresectable)
NCT03197935,Mittendorf EA et al,2020,32966830,IMpassion031,Phase 3,2,333.0,Original publication,Breast,Atezolizumab+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Atezolizumab,PD-L1,Combination,ICI+Chemo,Placebo+Nab-paclitaxel+Doxorubicin+Cyclophosphamide+Filgrastim/Pegfilgrastim,Chemo,Only 1st line of treatment for metastatic disease,Neoadjuvant,Path CR in ITT+Path CR in PD-L1+,Co-primary,"OS, Event free survival , disease free survival",False,True,Median,,20.6,19.8,Combination,Neoadjuvant
NCT02603432,Powles T et al,2020,32945632,,Phase 3,2,700.0,Original publication,Urothelial,Avelumab+Best Supportive Care,Avelumab,PD-L1,Monotherapy,,Best supportive care,Best supportive care,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, time to response, DoR, DCR, safety ",False,False,Median,19.0,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02625610,Moehler M et al,2020,33197226,Javelin Gastric 100,Phase 3,2,499.0,Original publication,Gastric/GEJ,Avelumab,Avelumab,PD-L1,Combination,ICI+Chemo,Oxaliplstin+5-FU+Leucovorin+Capecitabine+Best supportive care,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, best overall response, DOR, safety",False,True,Median,,24.1,24.0,Combination,Metastatic+recurrent (unresectable)
NCT02899299,Baas P et al.,2021,33485464,CheckMate 743,Phase 3,2,605.0,Original publication,Mesothelioma,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Pemetrexed+Cisplatin/Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, time to response, DoR, DCR ",False,False,Median,29.7,,,Combination,Metastatic+recurrent (unresectable)
NCT02409342,Herbst RS et al.,2020,32997907,IMpower110,Phase 3,2,572.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Cisplatin/carboplatin+gemcitabine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed PFS, DOR",True,True,Median,13.4,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02924883,Emens LA et al,2020,33002436,KATE2,Phase 2,2,202.0,Original publication,Breast,Atezolizumab,Atezolizumab+Trastuzumab emtansine+Placebo,PD-L1,Combination,ICI+HER2i,Trastuzumab emtansine+placebo,HER2i,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"OS, ORR, DOR",False,True,Median,,8.5,8.4,Combination,Metastatic+recurrent (unresectable)
NCT02853331,Powles T et al. ,2020,33284113,Keynote-426,Phase 3,2,861.0,Follow-up,Renal cell,Pembrolizumab+Axitinib,Pembrolizumab,PD1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, safety, tolerability",False,False,Median,30.6,,35.7,Combination,Metastatic+recurrent (unresectable)
NCT02657434,Nishio M et al,2020,33333328,Impower 132,Phase 3,2,578.0,Original publication,NSCLC,Atezolizumab+Carboplatin/Cisplatin+Pemetrexed,Atezolizumab,PD-L1,Combination,ICI+Chemo,Carboplatin/Cisplatin+Pemetrexed,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS+OS,Co-primary,,False,True,Median,,,,Combination,Metastatic+recurrent (unresectable)
NCT02564263,Kojima T et al.,2020,33026938,KEYNOTE-181,Phase 3,2,628.0,Original publication,Esophageal/GEJ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Paclitaxel/Docetaxel/Irinotecan,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, safety, tolerability",False,True,Median,,7.1,6.9,Monotherapy,Metastatic+recurrent (unresectable)
NCT00861614,Fizazi K et al.,2020,32811715,CA184-043,Phase 3,2,799.0,Follow-up,Prostate,Ipilimumab,Ipilimumab,CTLA-4,Combination,ICI+RadiatICIn,Placebo+Radiotherapy,Radiation,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; pain response; safety profile.,False,False,Median,50.0,,,Combination,Metastatic+recurrent (unresectable)
NCT01721772,Robert C et al,2020,32997575,CheckMate 066,Phase 3,2,418.0,Follow-up,Melanoma,Nivolumab,Nivolumab,PD1,Monotherapy,,Dacarbazine,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.,False,True,Median,,32.0,10.9,Monotherapy,Metastatic+recurrent (unresectable)
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022,Phase 2,2,120.0,Original publication,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Pembrolizumab,PD1,Combination,ICI+BRAFi+MEKi,Dabrafenib+trametinib+placebo,BRAFi+MEKi,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,ORR; duration of response; time to response; OS,False,True,Median,36.6,,,Combination,Metastatic+recurrent (unresectable)
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Phase 3,3,805.0,Follow-up,Small Cell Lung,Durvalumab+Tremelimumab+Etoposide+Platinum agent,"Durvalumab, Tremelimumab","PD-L1, CTLA-4",Combination,ICI+ICI+Chemo,Platinum+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",False,False,Median,25.1,,,Combination,Metastatic+recurrent (unresectable)
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Phase 3,3,805.0,Follow-up,Small Cell Lung,Durvalumab+Etoposide+Platinum agent,Durvalumab,PD-L1,Combination,ICI+Chemo,Platinum+Etoposide,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",False,False,Median,25.1,,,Combination,Metastatic+recurrent (unresectable)
NCT02991482,Popat S et al. ,2020,32976938,PROMISE-meso,Phase 3,2,144.0,Original publication,Mesothelioma,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Gemcitabine/Vinorelbine,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"investigator-assessed PFS, OS, ORR, time to treatment failure, safety",False,False,Median,11.8,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02563002,Andre T et al.,2020,33264544,MK-3475/Keynote-177,Phase 3,2,307.0,Original publication,Colorectal,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Oxaliplatin+ leucovorin+5-fluoropyrimidine/mFOLFOX6+bevacizumab/mFOLFOX6+cetuximab,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS+OS,Multiple,"ORR, safety",False,True,Median,32.4,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02362594,Eggermont AMM et al,2020,32946353,EORTC 1325-MG/KEYNOTE-054,Phase 3,2,1019.0,Follow-up,Melanoma,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Adjuvant,RFS,Co-primary,,False,False,Median,36.6,36.6,36.5,Monotherapy,Adjuvant
NCT00636168,Eggermont AMM et al,2015,25840693,,Phase 3,2,951.0,Original publication,Melanoma,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,OS; distant metastasis–free survival; safety; health-related quality of life.,False,False,Median,,26.1,17.1,Monotherapy,Metastatic+recurrent (unresectable)
NCT01903993,Mazieres J et al,2020,33166718,POPLAR,Phase 2,2,287.0,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Median,48.6,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02008227,Mazieres J et al,2020,33166718,OAK,Phase 3,2,1225.0,Follow-up,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,,False,False,Median,47.7,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02811861,Motzer R et al,2021,33616314,CLEAR,Phase 3,3,1069.0,Original publication,Renal cell,Pembrolizumab+Lenvatinib,Pembrolizumab,PD1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,OS; ORR; safety; investigator-assessed PFS,False,False,Median,26.6,,,Combination,Metastatic+recurrent (unresectable)
NCT03215706,Paz-Ares L et al,2021,33476593,CheckMate 9LA,Phase 3,2,719.0,Original publication,Non-Small Cell Lung,Nivolumab+Ipilimumab+Chemotherapy,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI+Chemo,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; ORR,False,True,Median,13.2,,,Combination,Metastatic+recurrent (unresectable)
NCT02481830,Spigel DR et al,2021,33539946,CheckMate 331,Phase 3,2,569.0,Original publication,Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; ORR; DoR,False,False,Minimum,15.8,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT03141177,Choueiri TK et al,2021,33657295,CheckMate 9ER,Phase 3,2,651.0,Original publication,Renal cell,Nivolumab+Cabozantinib,Nivolumab,PD1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,OS; ORR; safety,False,False,Median,18.1,,,Combination,Metastatic+recurrent (unresectable)
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Phase 3,3,834.0,Original publication,Small Cell Lung,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Maintenance,OS,,OS in Arm 2 vs Arm 3; PFS,False,False,Median,,8.4,9.1,Combination,Maintenance
NCT02538666,Owonikoko TK et al,2021,33683919,CheckMate 451,Phase 3,3,834.0,Original publication,Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,Only 1st line of treatment for metastatic disease,Maintenance,,,OS in Arm 2 vs Arm 3; PFS,False,False,Median,,9.9,9.1,Monotherapy,Maintenance
NCT02299999,Bachelot T et al,2021,33462450,SAFIR02-BREAST IMMUNO,Phase 2,2,199.0,Original publication,Breast,Durvalumab,Durvalumab,PD-L1,Monotherapy,,Chemotherapy,Chemo,Only 2nd or later line of treatment for metastatic disease,Maintenance,PFS,,OS,False,True,Median,19.7,,,Monotherapy,Maintenance
NCT02684292,Kuruvilla J et al,2021,33721562,Keynote-204,Phase 3,2,304.0,Original publication,Hodgkin Lymphoma,Pembrolizumab,Brentuximab-vedotin,PD1,Monotherapy,,Brentuximab vedotin,Antibody-drug conjugate,Only 2nd or later line of treatment for metastatic disease,Relapsed/refractory,PFS+OS,"Dual, unspecified","PFS; ORR; CR; investigator-assessed PFS, ORR, CR; safety",False,False,Median,25.7,,,Monotherapy,Relapsed/refractory
NCT02450331,Bellmunt J et al,2021,33721560,Imvigor010,Phase 3,2,809.0,Original publication,Urothelial,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Observation,Observation,,Adjuvant,DFS,,OS; disease-specific survival; distant metastasis-free survival; non-urinary tract recurrence-free survival; pharmacokinetics; PROs,False,False,Median,21.9,,,Monotherapy,Adjuvant
NCT02555657,Winer PE et al,2021,33676601,Keynote-119,Phase 3,2,622.0,Original publication,Breast,Pembrolizumab,Chemotherapy,PD1,Monotherapy,,Chemotherapy,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,PFS; ORR; DCR; DoR; safety,False,True,Median,31.4,31.5,,Monotherapy,Metastatic+recurrent (unresectable)
NCT03088540,Sezer A et al,2021,33581821,EMPOWER-Lung 1,Phase 3,2,710.0,Original publication,Non-Small Cell Lung,Cemiplimab,Cemiplimab,PD1,Monotherapy,,Chemotherapy,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,ORR; DoR; HRQOL; safety,True,True,Median,,10.8,10.9,Monotherapy,Metastatic+recurrent (unresectable)
NCT02852083,Heudobler D et al,2021,33796020,ModuLung,Phase 2,2,40.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Treosulfan+pioglitazone+clarithromycin,Bimodulatory,Only 2nd or later line,Metastatic+recurrent (unresectable),PFS,,OS; DoR; safety; HRQOL,False,False,Median,8.3,,,Monotherapy,Metastatic+recurrent (unresectable)
NCT02952586,Lee NY et al,2021,33794205,JAVELIN Head and Neck 101,Phase 3,2,697.0,Original publication,Head and Neck,Avelumab+Chemoradiotherapy,Avelumab,PD-L1,Combination,ICI+Chemoradiotherapy,Chemoradiotherapy,Chemoradio,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,OS; ORR; DoR; path CR,False,False,Median,,14.6,14.8,Combination,Metastatic+recurrent (unresectable)
NCT02743494,Kelly RJ,2021,33789008,CheckMate 577,Phase 3,2,,Original publication,,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,,Adjuvant,DFS,,"OS; survival at 1, 2 and 3 y",False,False,Median,24.4,,,Monotherapy,Adjuvant
NCT02999087,Tao Y et al.,2021,33125944,REACH,Phase 3,2,82.0,Original publication,Head and Neck,Avelumab+cetuximab+radiotherapy,Avelumab,PD-L1,Combination,ICI+Chemoradiotherapy,Cisplatin/cetuximab+radiotherapy,Chemo/Anti-EGFR+Radiotherapy,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,Safety,False,True,,,,,Combination,Metastatic+recurrent (unresectable)
