NCT,target,response,efficacy,Authors,Year,PMID
NCT02358031,PD-1,OS+PFS,positive,Burtness B et al,2019,31679945
NCT02358031,PD-1,OS+PFS,positive,Burtness B et al (1),2019,31679945
NCT02358031,PD-1,OS+PFS,"Treatment showed positive results in OS and PFS, suggesting it worked well.",Burtness B et al,2019,31679945
NCT02358031,PD-1,OS+PFS,"Treatment showed positive results in OS and PFS, suggesting it worked well.",Burtness B et al (1),2019,31679945
NCT02358031,PD-1,OS+PFS,positive,Burtness B et al,2019,31679945
NCT02358031,PD-1,OS+PFS,positive,Burtness B et al (1),2019,31679945
NCT02763579,PD-L1,OS+PFS,likely effective,Horn L et al,2018,30280641
NCT02763579,PD-L1,OS+PFS,likely effective,Mansfield AS et al,2020,31959349
NCT02763579,PD-L1,OS+PFS,Positive,Horn L et al,2018,30280641
NCT02763579,PD-L1,OS+PFS,Positive,Mansfield AS et al,2020,31959349
NCT02362048,PD-1,ORR,"ORR, disease control rate, PFS, and OS suggest potential efficacy",Overman M et al,2020,32114502
NCT02352948,PD-1,OS+PFS,effective,Planchard D et al,2020,32201234
NCT02352948,PD-1,OS+PFS,effective,Planchard D et al (1),2020,32201234
NCT02352948,PD-1,OS+PFS,effective,Planchard D et al (2),2020,32201234
NCT02352948,PD-1,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al,2020,32201234
NCT02352948,PD-1,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (1),2020,32201234
NCT02352948,PD-1,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (2),2020,32201234
NCT02352948,PD-1,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al,2020,32201234
NCT02352948,PD-1,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (1),2020,32201234
NCT02352948,PD-1,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (2),2020,32201234
NCT02352948,CTLA-4,OS+PFS,effective,Planchard D et al,2020,32201234
NCT02352948,CTLA-4,OS+PFS,effective,Planchard D et al (1),2020,32201234
NCT02352948,CTLA-4,OS+PFS,effective,Planchard D et al (2),2020,32201234
NCT02352948,CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al,2020,32201234
NCT02352948,CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (1),2020,32201234
NCT02352948,CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (2),2020,32201234
NCT02352948,CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al,2020,32201234
NCT02352948,CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (1),2020,32201234
NCT02352948,CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (2),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,effective,Planchard D et al,2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,effective,Planchard D et al (1),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,effective,Planchard D et al (2),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al,2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (1),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"OS+PFS, OS rate at 12 months; proportion of patients alive and progression-free at 6 and 12 months; ORR; DoR.",Planchard D et al (2),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al,2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (1),2020,32201234
NCT02352948,PD-1/CTLA-4,OS+PFS,"Treatment demonstrated positive outcomes in OS, PFS, OS rate, proportion of patients alive and progression-free, ORR, and DoR.",Planchard D et al (2),2020,32201234
NCT03036488,PD-L1,pathological complete response,High,Schmid P et al,2020,32101663
NCT01274338,CTLA-4,OS+RFS,Effective,Tarhini AA et al,2020,31880964
NCT01274338,CTLA-4,OS+RFS,Effective,Tarhini AA et al (1),2020,31880964
NCT01274338,CTLA-4,OS+RFS,Positive,Tarhini AA et al,2020,31880964
NCT01274338,CTLA-4,OS+RFS,Positive,Tarhini AA et al (1),2020,31880964
NCT01274338,CTLA-4,OS+RFS,Effective,Tarhini AA et al,2020,31880964
NCT01274338,CTLA-4,OS+RFS,Effective,Tarhini AA et al (1),2020,31880964
NCT01274338,CTLA-4,OS+RFS,Positive,Tarhini AA et al,2020,31880964
NCT01274338,CTLA-4,OS+RFS,Positive,Tarhini AA et al (1),2020,31880964
NCT02523313,PD-1,RFS,"Treatment showed positive results in RFS, OS, time to recurrence, PFS/RFS",Zimmer L et al,2020,32416781
NCT02523313,PD-1,RFS,"Treatment showed positive results in RFS, OS, time to recurrence, PFS/RFS",Zimmer L et al (1),2020,32416781
NCT02523313,PD-1,RFS,"Treatment showed positive results regarding recurrence-free survival (RFS) and overall survival (OS), suggesting the treatment worked well.",Zimmer L et al,2020,32416781
NCT02523313,PD-1,RFS,"Treatment showed positive results regarding recurrence-free survival (RFS) and overall survival (OS), suggesting the treatment worked well.",Zimmer L et al (1),2020,32416781
NCT02523313,PD-1/CTLA-4,RFS,"Treatment showed positive results in RFS, OS, time to recurrence, PFS/RFS",Zimmer L et al,2020,32416781
NCT02523313,PD-1/CTLA-4,RFS,"Treatment showed positive results in RFS, OS, time to recurrence, PFS/RFS",Zimmer L et al (1),2020,32416781
NCT02523313,PD-1/CTLA-4,RFS,"Treatment showed positive results regarding recurrence-free survival (RFS) and overall survival (OS), suggesting the treatment worked well.",Zimmer L et al,2020,32416781
NCT02523313,PD-1/CTLA-4,RFS,"Treatment showed positive results regarding recurrence-free survival (RFS) and overall survival (OS), suggesting the treatment worked well.",Zimmer L et al (1),2020,32416781
NCT01896869,CTLA-4,clinical and immunological responses,unknown,Wu AA et al,2020,32591464
NCT03066778,PD-1,ORR,promising,Rudin CM et al,2020,32468956
NCT02453282,PD-L1,ORR,positive,Rizvi NA et al,2020,32271377
NCT02453282,PD-L1,ORR,positive,Rizvi NA et al (1),2020,32271377
NCT02453282,PD-L1,ORR,Benefit,Rizvi NA et al,2020,32271377
NCT02453282,PD-L1,ORR,Benefit,Rizvi NA et al (1),2020,32271377
NCT02453282,PD-1,OS+PFS,positive,Rizvi NA et al,2020,32271377
NCT02453282,PD-1,OS+PFS,positive,Rizvi NA et al (1),2020,32271377
NCT02453282,PD-1,OS+PFS,Benefit,Rizvi NA et al,2020,32271377
NCT02453282,PD-1,OS+PFS,Benefit,Rizvi NA et al (1),2020,32271377
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02367794,PD-L1,ORR,"Atezolizumab+Carboplatin+Paclitaxel improved OS+PFS, ORR, DOR, and PFS/OS in PD-L1 subgroups",Jotte R et al,2020,32302702
NCT02367794,PD-L1,ORR,"Atezolizumab+Carboplatin+Paclitaxel improved OS+PFS, ORR, DOR, and PFS/OS in PD-L1 subgroups",Jotte R et al (1),2020,32302702
NCT02367794,PD-L1,ORR,Positive,Jotte R et al,2020,32302702
NCT02367794,PD-L1,ORR,Positive,Jotte R et al (1),2020,32302702
NCT02367794,PD-L1,ORR,"Atezolizumab+Carboplatin+Paclitaxel improved OS+PFS, ORR, DOR, and PFS/OS in PD-L1 subgroups",Jotte R et al,2020,32302702
NCT02367794,PD-L1,ORR,"Atezolizumab+Carboplatin+Paclitaxel improved OS+PFS, ORR, DOR, and PFS/OS in PD-L1 subgroups",Jotte R et al (1),2020,32302702
NCT02367794,PD-L1,ORR,Positive,Jotte R et al,2020,32302702
NCT02367794,PD-L1,ORR,Positive,Jotte R et al (1),2020,32302702
NCT02908672,VEGF,PFS,PFS,Gutzmer R et al,2020,32534646
NCT02017717,PD-1,ORR,effective,Reardon DA et al,2020,32437507
NCT02500121,PD-1,PFS,Pembrolizumab demonstrated improved PFS and OS,Galsky MD et al,2020,32271672
NCT02807636,PD-L1,RR,positive,Galsky MD et al,2020,32416780
NCT02807636,PD-L1,RR,positive,Galsky MD et al (1),2020,32416780
NCT02807636,PD-L1,RR,"Treatment showed positive results in OS, PFS, RR, and DOR.",Galsky MD et al,2020,32416780
NCT02807636,PD-L1,RR,"Treatment showed positive results in OS, PFS, RR, and DOR.",Galsky MD et al (1),2020,32416780
NCT02807636,PD-L1,RR,positive,Galsky MD et al,2020,32416780
NCT02807636,PD-L1,RR,positive,Galsky MD et al (1),2020,32416780
NCT02807636,PD-L1,RR,"Treatment showed positive results in OS, PFS, RR, and DOR.",Galsky MD et al,2020,32416780
NCT02807636,PD-L1,RR,"Treatment showed positive results in OS, PFS, RR, and DOR.",Galsky MD et al (1),2020,32416780
NCT03434379,VEGF,ORR,OS and PFS,Finn RS et al,2020,32402160
NCT02369874,PD-L1,ORR,"The treatment had some effect on OS (Primary endpoint), and also on PFS, ORR, and DOR (Secondary endpoints).",Ferris RL et al,2020,32294530
NCT02369874,PD-L1,ORR,"The treatment had some effect on OS (Primary endpoint), and also on PFS, ORR, and DOR (Secondary endpoints).",Ferris RL et al (1),2020,32294530
NCT02369874,PD-L1,ORR,Positive,Ferris RL et al,2020,32294530
NCT02369874,PD-L1,ORR,Positive,Ferris RL et al (1),2020,32294530
NCT02369874,CTLA-4,ORR,"The treatment had some effect on OS (Primary endpoint), and also on PFS, ORR, and DOR (Secondary endpoints).",Ferris RL et al,2020,32294530
NCT02369874,CTLA-4,ORR,"The treatment had some effect on OS (Primary endpoint), and also on PFS, ORR, and DOR (Secondary endpoints).",Ferris RL et al (1),2020,32294530
NCT02369874,CTLA-4,ORR,Positive,Ferris RL et al,2020,32294530
NCT02369874,CTLA-4,ORR,Positive,Ferris RL et al (1),2020,32294530
NCT02870920,PD-1/CTLA-4,"OS, PFS, ORR",effective,Chen EX et al,2020,32379280
NCT02574598,PD-1,ORR,"Treatment showed positive results in ORR, PFS and OS",Arrieta O et al,2020,32271354
NCT01668784,PD-1,OS,Effective,Motzer RJ et al,2015,26406148
NCT01668784,PD-1,OS,Effective,Motzer RJ et al,2020,32673417
NCT01668784,PD-1,OS,positive,Motzer RJ et al,2015,26406148
NCT01668784,PD-1,OS,positive,Motzer RJ et al,2020,32673417
NCT02684006,PD-L1,OS+PFS,effective,Motzer RJ et al,2019,30779531
NCT02684006,PD-L1,OS+PFS,effective,Choueiri TK et al,2020,32339648
NCT02684006,PD-L1,OS+PFS,effective,Motzer RJ et al,2019,30779531
NCT02684006,PD-L1,OS+PFS,effective,Choueiri TK et al,2020,32339648
NCT02142738,PD-1,PFS,"Treatment showed positive results in PFS, OS, and ORR.",Reck M et al,2019,30620668
NCT02142738,PD-1,PFS,"Treatment showed positive results in PFS, OS, and ORR.",Reck M et al,2016,27718847
NCT02142738,PD-1,PFS,"Treatment showed effectiveness in PFS, OS and ORR",Reck M et al,2019,30620668
NCT02142738,PD-1,PFS,"Treatment showed effectiveness in PFS, OS and ORR",Reck M et al,2016,27718847
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,Improved,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,Improved,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,Improved,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,Improved,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,effective,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,effective,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,effective,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,effective,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,"OS was primary endpoint, suggesting it was a key measure of treatment success. Secondary endpoints included comparison of OS between groups, ORR, duration of response, and PFS, indicating a comprehensive evaluation of efficacy.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,Improved,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,Improved,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,Improved,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,Improved,McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,"Treatment demonstrated efficacy by measuring Overall Survival (OS) as a primary endpoint, and Duration of Survival (DOS) and responses as secondary endpoints.",McDermott D et al (1),2013,23942774
NCT00094653,CTLA-4,responses,effective,Hodi FS et al,2010,20525992
NCT00094653,CTLA-4,responses,effective,Hodi FS et al (1),2010,20525992
NCT00094653,CTLA-4,responses,effective,McDermott D et al,2013,23942774
NCT00094653,CTLA-4,responses,effective,McDermott D et al (1),2013,23942774
NCT03051659,PD-1,PFS,"PFS, ORR, OS, DoR",Tolaney SM et al,2020,32880602
NCT02494583,PD-1,OS+PFS,positive,Shitara K et al,2020,32880601
NCT02494583,PD-1,OS+PFS,positive,Shitara K et al (1),2020,32880601
NCT02494583,PD-1,OS+PFS,effective,Shitara K et al,2020,32880601
NCT02494583,PD-1,OS+PFS,effective,Shitara K et al (1),2020,32880601
NCT02494583,PD-1,OS+PFS,positive,Shitara K et al,2020,32880601
NCT02494583,PD-1,OS+PFS,positive,Shitara K et al (1),2020,32880601
NCT02494583,PD-1,OS+PFS,effective,Shitara K et al,2020,32880601
NCT02494583,PD-1,OS+PFS,effective,Shitara K et al (1),2020,32880601
NCT02819518,PD-1,ORR,"OS, PFS, ORR, DoR, DCR",Cortes J et al,2020,33278935
NCT02516241,PD-L1,ORR,"The treatment showed potential efficacy based on overall survival (OS), progression-free survival (PFS), objective response rate (ORR), duration of response (DoR), and disease control rate (DCR).",Powles T et al,2020,32971005
NCT02516241,PD-L1,ORR,"The treatment showed potential efficacy based on overall survival (OS), progression-free survival (PFS), objective response rate (ORR), duration of response (DoR), and disease control rate (DCR).",Powles T et al (1),2020,32971005
NCT02516241,PD-L1,ORR,effective,Powles T et al,2020,32971005
NCT02516241,PD-L1,ORR,effective,Powles T et al (1),2020,32971005
NCT02516241,CTLA-4,ORR,"The treatment showed potential efficacy based on overall survival (OS), progression-free survival (PFS), objective response rate (ORR), duration of response (DoR), and disease control rate (DCR).",Powles T et al,2020,32971005
NCT02516241,CTLA-4,ORR,"The treatment showed potential efficacy based on overall survival (OS), progression-free survival (PFS), objective response rate (ORR), duration of response (DoR), and disease control rate (DCR).",Powles T et al (1),2020,32971005
NCT02516241,CTLA-4,ORR,effective,Powles T et al,2020,32971005
NCT02516241,CTLA-4,ORR,effective,Powles T et al (1),2020,32971005
NCT03197935,PD-L1,Path CR,Treatment showed positive pathological complete response in both the intention-to-treat population and the PD-L1 positive subgroup. Further evaluation based on overall survival and other survival metrics is needed.,Mittendorf EA et al,2020,32966830
NCT02603432,PD-L1,ORR,effective,Powles T et al,2020,32945632
NCT02625610,PD-L1,best overall response,"Treatment showed some efficacy based on overall survival (OS) and progression-free survival (PFS), as well as best overall response and duration of response (DOR).  Safety also assessed.",Moehler M et al,2020,33197226
NCT02899299,PD-1/CTLA-4,ORR,"Treatment demonstrated efficacy as measured by OS, PFS, and ORR",Baas P et al.,2021,33485464
NCT02409342,PD-L1,OS,Treatment showed improved Overall Survival (OS) and Progression Free Survival (PFS) along with Duration of Response (DOR).,Herbst RS et al.,2020,32997907
NCT02924883,PD-L1,ORR,"PFS, OS, ORR, DOR",Emens LA et al,2020,33002436
NCT02853331,PD-1 and VEGF,"OS+PFS, ORR, DoR",effective,Rini BI et al,2019,30779529
NCT02853331,PD-1 and VEGF,"OS+PFS, ORR, DoR",effective,Powles T et al. ,2020,33284113
NCT02853331,PD-1 and VEGF,"OS+PFS, ORR, DoR","OS+PFS, ORR, DoR",Rini BI et al,2019,30779529
NCT02853331,PD-1 and VEGF,"OS+PFS, ORR, DoR","OS+PFS, ORR, DoR",Powles T et al. ,2020,33284113
NCT02657434,PD-L1,PFS+OS,PFS+OS,Nishio M et al,2020,33333328
NCT02564263,PD-1,ORR,positive,Kojima T et al.,2020,33026938
NCT00861614,CTLA-4,OS,effective,Kwon ED et al,2014,24831977
NCT00861614,CTLA-4,OS,effective,Fizazi K et al.,2020,32811715
NCT00861614,CTLA-4,OS,effective,Kwon ED et al,2014,24831977
NCT00861614,CTLA-4,OS,effective,Fizazi K et al.,2020,32811715
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,"The treatment appears to have had a positive effect on overall survival (OS) and progression-free survival (PFS) based on the primary and secondary endpoints. Furthermore, PD-L1 expression might predict OS.",Robert C et al,2020,32997575
NCT01721772,PD-1,objective response,Benefit,Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,Benefit,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,Benefit,Robert C et al,2020,32997575
NCT01721772,PD-1,objective response,effective,Robert C et al,2015,25399552
NCT01721772,PD-1,objective response,effective,Ascierto PA et al,2019,30422243
NCT01721772,PD-1,objective response,effective,Robert C et al,2020,32997575
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ascierto PA et al,2019,31171878
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ferrucci PF et al,2020,33361337
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ascierto PA et al,2019,31171878
NCT02130466,PD-1,ORR,"PFS, ORR, duration of response, time to response, OS",Ferrucci PF et al,2020,33361337
NCT03043872,PD-1/CTLA-4,ORR,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,"Likely effective, based on OS and PFS endpoints",Goldman JW et al,2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,"Likely effective, based on OS and PFS endpoints",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al,2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al (1),2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al,2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,likely beneficial,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,likely beneficial,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1/CTLA-4,ORR,likely beneficial,Goldman JW et al,2020,33285097
NCT03043872,PD-1/CTLA-4,ORR,likely beneficial,Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,ORR,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,ORR,"Likely effective, based on OS and PFS endpoints",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,ORR,"Likely effective, based on OS and PFS endpoints",Goldman JW et al,2020,33285097
NCT03043872,PD-1,ORR,"Likely effective, based on OS and PFS endpoints",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al,2020,33285097
NCT03043872,PD-1,ORR,The treatment's efficacy can be evaluated based on the primary endpoint of Overall Survival (OS) and secondary endpoints such as Progression-Free Survival (PFS) and objective response.,Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al,2020,33285097
NCT03043872,PD-1,ORR,"The treatment's impact on survival (OS, PFS) and response rate (ORR) along with other factors like safety and quality of life (HRQOL) will determine its efficacy.",Goldman JW et al (1),2020,33285097
NCT03043872,PD-1,ORR,likely beneficial,Paz-Ares L et al,2019,31590988
NCT03043872,PD-1,ORR,likely beneficial,Paz-Ares L et al (1),2019,31590988
NCT03043872,PD-1,ORR,likely beneficial,Goldman JW et al,2020,33285097
NCT03043872,PD-1,ORR,likely beneficial,Goldman JW et al (1),2020,33285097
NCT02991482,PD-1,PFS,Positive,Popat S et al. ,2020,32976938
NCT02563002,PD-1,ORR,"Treatment showed benefit based on PFS, OS, and ORR",Andre T et al.,2020,33264544
NCT02362594,PD-1,RFS,PFS and Distant metastasis-free survival were improved with treatment.,Eggermont AMM et al,2018,29658430
NCT02362594,PD-1,RFS,PFS and Distant metastasis-free survival were improved with treatment.,Eggermont AMM et al,2020,32946353
NCT02362594,PD-1,RFS,Positive,Eggermont AMM et al,2018,29658430
